	City	Latitude	Longitude	Max Temp (F)	Humidity (%)	Cloudiness (%)	Wind Speed (mph)	Country	Date
0	Hong Kong	22.2855	114.1577	58.24	77	96	4.0	HK	1644000626
1	Butaritari	3.0707	172.7902	82.51	73	14	19.1	KI	1644000786
2	Punta Arenas	-53.15	-70.9167	57.31	41	0	17.27	CL	1644000769
3	Ribeira Grande	38.5167	-28.7	61.2	77	40	14.97	PT	1644000836
4	Vaini	-21.2	-175.2	75.36	100	100	9.22	TO	1644000811
5	Moses Lake	47.1301	-119.2781	34.18	86	100	0.0	US	1644000576
6	New Norfolk	-42.7826	147.0587	57.92	75	49	1.79	AU	1644000770
7	Ushuaia	-54.8	-68.3	53.22	54	0	13.8	AR	1644001181
8	Mhango	-3.2833	32.85	63.36	93	100	7.31	TZ	1644001367
9	Bredasdorp	-34.5322	20.0403	63.72	59	8	10.36	ZA	1644000801
10	Beloha	-25.1667	45.05	74.53	85	38	18.84	MG	1644000776
11	Rikitea	-23.1203	-134.9692	78.46	71	9	10.63	PF	1644000770
12	Geraldton	-28.7667	114.6	72.01	53	0	3.44	AU	1644000901
13	Port Elizabeth	-33.918	25.5701	67.1	88	100	2.3	ZA	1644000777
14	Dunedin	-45.8742	170.5036	52.81	86	100	8.01	NZ	1644000870
15	Yucca Valley	34.1142	-116.4322	55.2	28	7	7.0	US	1644001164
16	Hilo	19.7297	-155.09	76.62	71	100	6.91	US	1644000597
17	Banda Aceh	5.5577	95.3222	78.26	81	69	7.18	ID	1644000889
18	Pevek	69.7008	170.3133	-22.72	100	82	4.23	RU	1644000782
19	Bambous Virieux	-20.3428	57.7575	80.22	86	100	17.45	MU	1644001368
20	Saint-Philippe	-21.3585	55.7679	80.15	87	100	27.63	RE	1644000819
21	Mchinji	-13.7984	32.8802	62.82	92	100	6.93	MW	1644001369
22	Bluff	-46.6	168.3333	51.8	63	77	6.78	NZ	1644000828
23	Tr̻s Barras	-26.1064	-50.3222	68.18	99	99	3.53	BR	1644001369
24	Beruwala	6.4788	79.9828	72.91	75	52	4.43	LK	1644001369
25	Rio Grande	-32.035	-52.0986	82.94	83	84	5.5	BR	1644001370
26	Manyana	-23.4	21.7167	75.27	55	0	6.26	BW	1644001370
27	Samfya	-11.3649	29.5565	62.89	94	100	3.49	ZM	1644001370
28	Solano	38.2333	-121.9511	61.21	56	0	3.44	US	1644001371
29	Camopi	3.1655	-52.3158	79.5	82	99	3.4	GF	1644001371
30	Hermanus	-34.4187	19.2345	63.81	62	0	19.35	ZA	1644001371
31	Tuktoyaktuk	69.4541	-133.0374	-25.6	75	20	9.22	CA	1644000849
32	Mutsu	41.2894	141.2169	26.01	79	100	11.88	JP	1644001372
33	Faanui	-16.4833	-151.75	80.26	75	22	13.96	PF	1644000802
34	Kapaa	22.0752	-159.319	67.48	100	0	1.92	US	1644000798
35	Puerto Ayora	-0.7393	-90.3518	82.36	85	83	5.01	EC	1644000776
36	Aklavik	68.2191	-135.0107	-22.97	68	20	8.05	CA	1644000806
37	Atuona	-9.8	-139.0333	78.19	78	29	16.22	PF	1644001126
38	Skvyra	49.7318	29.6657	23.63	80	89	3.56	UA	1644001372
39	Karatau	43.1667	70.4667	27.12	94	18	2.33	KZ	1644001373
40	Ballina	-28.8667	153.5667	61.79	92	100	21.32	AU	1644001373
41	Khandyga	62.6667	135.6	-40.31	100	69	0.92	RU	1644001373
42	Lebu	-37.6167	-73.65	64.24	75	1	17.47	CL	1644000851
43	Kruisfontein	-34.0033	24.7314	64.89	62	100	4.83	ZA	1644000775
44	Illela	13.7292	5.2975	70.45	11	0	10.49	NG	1644001374
45	Malacca	2.196	102.2405	75.94	90	100	11.52	MY	1644001374
46	Upernavik	72.7868	-56.1549	-0.98	100	79	9.95	GL	1644000871
